"phy_cou_type","Message_Type","total_score","most_appealing_score","least_appealing_score"
"Physician 2 & Mexico","Concomitant acid-reducing agents use",-0.04,0.02,0.06
"Physician 2 & Mexico","Discontinuation rate comparison",-0.03,0.01,0.04
"Physician 2 & Mexico","Efficacy comparison (vs darunavir)",0.21,0.22,0.01
"Physician 2 & Mexico","Efficacy comparison (vs efavirenz)",0.09,0.12,0.03
"Physician 2 & Mexico","Efficacy in high baseline VL",0.11,0.15,0.04
"Physician 2 & Mexico","Efficacy in presence of NNRTI resistance mutations",-0.05,0.04,0.09
"Physician 2 & Mexico","Flexible dosing",-0.16,0,0.16
"Physician 2 & Mexico","Flexible prescribing",-0.08,0.02,0.1
"Physician 2 & Mexico","GI tolerability comparison",-0.13,0.02,0.15
"Physician 2 & Mexico","Lipid effects comparison",-0.05,0.03,0.08
"Physician 2 & Mexico","Lipid-lowering benefits",-0.03,0,0.03
"Physician 2 & Mexico","Managing patients with HIV and hyperlipidemia",0,0.05,0.05
"Physician 2 & Mexico","Resistance rate comparison",0.08,0.1,0.02
"Physician 2 & Mexico","Unique resistance profile",0.04,0.09,0.05
"Physician 2 & Mexico","Use with common concomitant medications",0,0.05,0.05
"Physician 2 & USA","CNS tolerability comparison",0.0176991150442478,0.0619469026548673,0.0442477876106195
"Physician 2 & USA","Concomitant acid-reducing agents use",-0.0353982300884956,0.00884955752212389,0.0442477876106195
"Physician 2 & USA","Discontinuation rate comparison",-6.93889390390723e-18,0.0619469026548673,0.0619469026548673
"Physician 2 & USA","Efficacy comparison (vs darunavir)",0.106194690265487,0.123893805309735,0.0176991150442478
"Physician 2 & USA","Efficacy comparison (vs efavirenz)",0.141592920353982,0.194690265486726,0.0530973451327434
"Physician 2 & USA","Efficacy in high baseline VL",0.0884955752212389,0.115044247787611,0.0265486725663717
"Physician 2 & USA","Efficacy in presence of NNRTI resistance mutations",-0.0619469026548673,0.0176991150442478,0.079646017699115
"Physician 2 & USA","Flexible dosing",-0.115044247787611,0.0353982300884956,0.150442477876106
"Physician 2 & USA","Flexible prescribing",-0.115044247787611,0.0353982300884956,0.150442477876106
"Physician 2 & USA","GI tolerability comparison",-0.0530973451327434,0.0265486725663717,0.079646017699115
"Physician 2 & USA","Lipid effects comparison",0.0176991150442478,0.0707964601769911,0.0530973451327434
"Physician 2 & USA","Lipid-lowering benefits",0.00884955752212389,0.0442477876106195,0.0353982300884956
"Physician 2 & USA","Managing patients with HIV and hyperlipidemia",-0.0530973451327434,0,0.0530973451327434
"Physician 2 & USA","Resistance rate comparison",0.00884955752212388,0.0530973451327434,0.0442477876106195
"Physician 2 & USA","Unique resistance profile",0.0619469026548673,0.0973451327433628,0.0353982300884956
"Physician 2 & USA","Use with common concomitant medications",-0.0176991150442478,0.0530973451327434,0.0707964601769911
